block,plot,year,rain_trt,graze_trt,species_code,genus,species,origin,graminoidrowth_forborm,life_history,photo_path,fun_grp,area,x,y,area_clipped,richness_only
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,25.12326391,21.4478167,88.25116113,25.12326391,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.564723338,14.27574597,55.14585119,1.564723338,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,4.659407024,16.38609079,43.78349162,4.659407024,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,8.876937476,25.13631651,98.61313066,8.876356399,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.484427954,25.12978727,96.0452548,1.484427954,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,0.802393454,25.85340504,94.06722872,0.802393454,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.900667373,27.44796931,92.08194479,3.900667373,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,5.018384427,28.98773138,90.12483588,5.018384427,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.067700467,24.65835162,72.76279947,1.067700467,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.204883564,23.67639105,63.98521384,1.204883564,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,0.891327129,21.85335023,69.43395688,0.891327129,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.425294473,25.10056834,9.853416297,2.425294473,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.257378446,32.13105404,89.31259649,2.257378446,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,5.835470677,39.65975318,89.02117017,5.835470677,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,4.638286651,34.76708789,90.38105271,4.638286651,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,15.95172316,40.44976028,87.19955213,15.95172316,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,15.55995926,40.34077101,83.94884458,15.55995926,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,5.173818568,41.01672796,79.08541788,5.173818568,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.115743619,40.63820396,63.84752722,3.115743619,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,13.57499879,34.70011255,58.682647,13.57499879,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.402647814,31.2843751,68.55093066,1.402647814,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.275686981,32.93684755,65.26497505,3.275686981,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.817510448,36.23466244,22.66128159,3.817510448,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,13.7047259,34.30386564,9.675830083,13.7047259,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,15.69841107,39.94438411,8.741026118,15.69841107,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,5.579213811,38.80658106,17.95435312,5.579213811,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.342867984,37.69308354,0.719794255,3.342867984,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,8.746733686,51.16547356,80.31462962,0.509788776,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.561431576,50.21856027,85.32572856,0.327818784,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.670466195,47.74224618,77.74011403,1.670466195,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,10.37707736,49.15398205,67.63323575,8.825415905,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,24.95182422,44.37066883,48.15903969,24.95182422,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.181957054,48.0888486,47.06944964,1.181957054,
1,1,2018,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,17.61315151,44.68714598,8.683426971,17.61315151,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,1.653966344,14.46579644,82.36712317,1.653966344,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,0.425498944,25.51303446,97.00437756,0.425498944,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,0.532035101,26.32368088,17.56165672,0.532035101,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,1.260476069,29.37789002,15.8519484,1.260476069,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,1.255620986,37.17531875,12.1440424,1.255620986,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,1.695234694,37.38208846,6.610859483,1.695234694,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,0.710178392,41.81921897,32.61774602,0.710178392,
1,1,2018,C,UG,dr,draba,repens,native,forb,annual-biennial,C3,Ann_Bi,0.786770487,48.10850969,28.13196736,0.786770487,
1,1,2018,C,UG,ec,erysimum,capitatum,native,forb,annual-biennial,C3,Ann_Bi,23.89042989,27.08259893,67.37955915,23.89042989,
1,1,2018,C,UG,ecm,erigeron,flagellaris,native,forb,perennial,C3,F,2.716619174,10.67768787,40.49307594,2.716619174,
1,1,2018,C,UG,ecm,erigeron,flagellaris,native,forb,perennial,C3,F,49.88510946,13.07084715,44.71289392,49.88510946,
1,1,2018,C,UG,ecm,erigeron,flagellaris,native,forb,perennial,C3,F,9.319252727,1.558716716,38.79312976,9.199444962,
1,1,2018,C,UG,ecm,erigeron,flagellaris,native,forb,perennial,C3,F,25.25994278,2.773164363,32.70857546,25.25994278,
1,1,2018,C,UG,ecm,erigeron,flagellaris,native,forb,perennial,C3,F,8.92369463,49.8859167,63.63232399,5.802784279,
1,1,2018,C,UG,ee,elymus,elymoides,native,graminoid,perennial,C3,G_C3,0.728125674,4.432192714,74.59307169,0.728125674,
1,1,2018,C,UG,ee,elymus,elymoides,native,graminoid,perennial,C3,G_C3,6.437788646,3.002156255,67.44939039,6.437788646,
1,1,2018,C,UG,ef,eremogone,fendleri,native,forb,perennial,C3,F,0.01,,,,Y
1,1,2018,C,UG,ga,gaillardia,aristata,native,forb,perennial,C3,F,0.01,,,,Y
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,28.96667143,2.65180213,73.46269597,28.96667143,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,6.119504893,9.199025186,64.50137858,6.119504893,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,3.632619937,7.590954672,34.69310966,3.632619937,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,7.381572872,0.921718784,35.93727252,7.086426984,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,12.03968761,1.247440578,18.22473168,11.78199533,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,51.13232879,21.06672692,3.703638993,50.14015011,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,0.892005102,21.31211881,62.3102471,0.892005102,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,0.757686387,22.42939526,64.47719958,0.757686387,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,1.465806837,29.10239667,57.97284902,1.465806837,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,8.482161317,23.87817172,43.06837799,8.482161317,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,15.84747927,29.27241467,34.41853886,15.84747927,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,2.281915345,31.26283126,76.73959134,2.281915345,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,1.755908732,31.48455069,79.04956902,1.755908732,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,34.149956,35.85752646,33.78936389,34.149956,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,16.27021522,39.25027512,21.47548672,16.27021522,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,54.60872801,36.19395745,15.48301334,54.60872801,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,0.731698227,41.98795135,54.86088549,0.731698227,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,1.84271501,40.85325013,57.34966047,1.84271501,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,50.66897555,50.63986255,11.14859988,20.54767787,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,1.332541421,48.94533779,18.19211458,1.332541421,
1,1,2018,C,UG,hc,hesperostipa,comata,native,graminoid,perennial,C3,G_C3,1.991628192,41.47628953,2.121643632,1.991628192,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,90.83860937,3.914338114,83.80676703,90.83860937,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,25.45004068,6.218560507,55.58101007,25.45004068,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,29.13524644,14.1607658,57.3483627,29.13524644,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,59.97478602,12.48669483,51.0507506,59.97478602,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,38.65242053,10.15884217,22.49382706,38.65242053,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,11.244304,21.46522659,94.66739649,11.244304,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,14.4029632,14.56395206,98.57417439,12.57158296,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,4.104070828,15.40150282,85.32946796,4.104070828,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,4.079943755,14.09388918,80.30129202,4.079943755,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,21.56435698,21.54670597,74.30713695,21.56435698,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,68.8818574,27.05988247,67.85969553,68.8818574,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,19.48300476,18.84411914,3.908342378,19.44602776,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,27.68000013,24.75088736,87.27820844,27.68000013,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,111.1667733,31.75022054,92.8017423,109.5901854,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,9.326897371,27.09995339,81.89787635,9.326897371,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,3.88472949,23.21464448,71.33627348,3.88472949,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,11.9071979,27.59667446,55.69275717,11.9071979,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,39.87001547,29.03250584,5.234794591,39.8376558,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,1.571154841,27.68974204,13.27696928,1.571154841,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,22.6354991,44.02172382,71.36015411,22.6354991,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,42.98581189,40.30405245,59.45500806,42.98581189,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,1.299605524,31.0834024,67.08925504,1.299605524,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,14.87026006,45.2599057,59.04579679,14.87026006,
1,1,2018,C,UG,hv,heterotheca,villosa,native,forb,perennial,C3,F,4.251133843,43.98409823,44.73799631,4.251133843,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,19.5392028,9.801046474,70.80133393,19.5392028,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,4.788776409,0.877591849,69.81879905,4.788776409,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,89.49514958,14.73829139,9.86516827,89.49514958,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,8.45102151,16.39754211,62.86100546,8.45102151,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,24.63431931,16.48600067,38.79471252,24.63431931,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,11.52168576,20.81699064,42.5638792,11.52168576,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,25.02440702,20.89389348,34.47356328,25.02440702,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,74.66378389,27.29103025,21.80839916,74.66378389,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,16.53691751,40.36165744,67.61993309,16.53691751,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,10.84685397,41.09728936,61.26673898,10.84685397,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,51.65099474,35.87520415,54.05487225,51.65099474,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,36.03741538,34.98900173,3.495026274,36.03741538,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,27.33614305,41.79757789,3.660757947,27.034371,
1,1,2018,C,UG,km,koeleria,macrantha,native,graminoid,perennial,C3,G_C3,106.1172717,48.83800132,30.37544927,62.60651299,
1,1,2018,C,UG,lm,lesquerella,montana,native,forb,perennial,C3,F,1.93742058,4.853854552,94.80812131,1.93742058,
1,1,2018,C,UG,lm,lesquerella,montana,native,forb,perennial,C3,F,0.433633336,23.25290547,96.91907633,0.433633336,
1,1,2018,C,UG,lp,liatris,punctata,native,forb,perennial,C3,F,13.63742449,21.25135125,77.75815126,13.63742449,
1,1,2018,C,UG,lp,liatris,punctata,native,forb,perennial,C3,F,49.12059976,40.16304957,89.45600977,49.12059976,
1,1,2018,C,UG,lp,liatris,punctata,native,forb,perennial,C3,F,32.27722667,41.71473112,21.88203972,32.27722667,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,122.6814187,6.236433527,53.33977417,122.6814187,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,146.1582972,12.33181743,28.59357476,146.1582972,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,30.75992619,8.41488809,20.67230158,30.75992619,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,14.81969034,18.31623679,98.54191814,12.78350824,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,30.94919353,17.09640254,69.96625977,30.94919353,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,19.15472807,15.9854314,75.81495424,19.15472807,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,11.96583164,13.80669608,61.39535375,11.96583164,
1,1,2018,C,UG,mm,muhlenbergia,montana,native,graminoid,perennial,C4,G_C4,12.27626433,20.03762984,22.07641776,12.27626433,
1,1,2018,C,UG,pa,pterogonum,alatum,native,forb,perennial,C3,F,1.498224495,3.926728255,29.41833509,1.498224495,
1,1,2018,C,UG,pa,pterogonum,alatum,native,forb,perennial,C3,F,10.08458138,28.56546276,43.44444664,10.08458138,
1,1,2018,C,UG,packera_sp,packera,spp,native,forb,perennial,C3,F,0.703156777,5.390330695,12.27482618,0.703156777,
1,1,2018,C,UG,packera_sp,packera,spp,native,forb,perennial,C3,F,7.653785106,41.50670961,13.63317627,7.653785106,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,1.330446269,17.99857375,62.70421937,1.330446269,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,74.48377516,23.51497558,55.79245512,74.48377516,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,2.25908571,24.83116894,100.1592293,0.645120065,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,48.97332198,34.31559427,55.53848041,48.97332198,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,25.13398097,33.38870396,47.42206518,25.13398097,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,38.01346131,37.21756422,95.13227781,36.53343929,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,3.944782308,31.5449413,91.29884549,3.944782308,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,3.261379733,37.20159692,81.24391233,3.261379733,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,14.34446239,36.97917506,67.87065035,14.34446239,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,1.397286356,36.61508986,74.80570105,1.397286356,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,25.12625061,45.62320827,50.54143285,23.78625226,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,52.67604655,44.886739,93.35257477,52.35229624,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,2.909832908,45.61797606,85.497311,2.909832908,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,17.84903603,45.06115626,80.21954662,17.84903603,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,14.57867625,49.82325665,74.87224413,7.756439847,
1,1,2018,C,UG,pc,poa,compressa,exotic,graminoid,perennial,C3,G_C3,18.59629282,45.2651722,67.00265508,18.59629282,
1,1,2018,C,UG,pp,plantago,patagonica,native,forb,annual-biennial,C3,Ann_Bi,0.984771343,1.744414102,5.037014151,0.984771343,
1,1,2018,C,UG,pp,plantago,patagonica,native,forb,annual-biennial,C3,Ann_Bi,0.493406461,45.95538467,17.05382767,0.493406461,
1,1,2018,C,UG,rock,NA,NA,NA,NA,NA,NA,NA_NA_NA,7.627034899,4.735297804,9.761391294,7.627034899,
1,1,2018,C,UG,td,tragopogon,dubius,exotic,forb,annual-biennial,C3,Ann_Bi,1.013094966,43.70379944,83.85878361,1.013094966,
1,1,2018,C,UG,to,taraxacum,officinale,exotic,forb,perennial,C3,F,11.70198059,45.71678722,1.548231925,11.70198059,
1,1,2018,C,UG,tp,talinum,parviflorum,native,forb,perennial,C3,F,2.33381647,1.49615335,74.44379405,2.33381647,
1,1,2018,C,UG,vf,virgulus,falcatus,native,forb,perennial,C3,F,1.02608527,19.17567933,43.74919555,1.02608527,
1,1,2018,C,UG,vf,virgulus,falcatus,native,forb,perennial,C3,F,1.039462146,21.43792607,67.51263039,1.039462146,
1,1,2018,C,UG,vf,virgulus,falcatus,native,forb,perennial,C3,F,0.732737974,45.45935825,86.88218864,0.732737974,
1,1,2018,C,UG,vf,virgulus,falcatus,native,forb,perennial,C3,F,0.449077007,48.75049636,42.0078992,0.449077007,
1,1,2018,C,UG,vf,virgulus,falcatus,native,forb,perennial,C3,F,0.882161846,44.1424775,25.4644115,0.882161846,
1,1,2019,C,UG,apo,aster,porteri,native,forb,perennial,C3,F,25.00439184,10.7379954,70.42658777,24.87979662,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,10.07041605,26.24786215,44.87868338,10.02023065,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,7.408141074,35.15642189,46.89315606,7.371223475,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,4.503354774,47.01477449,54.27492167,4.480913681,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,4.782772221,44.00720047,22.23109522,4.758935394,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,3.31608723,42.32052554,24.98619807,3.299560385,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,2.821456289,41.446149,26.87581083,2.807394711,
1,1,2019,C,UG,aps,ambrosia,psilostachya,native,forb,perennial,C3,F,3.212714634,42.53742683,17.60233947,3.196702468,
1,1,2019,C,UG,apu,aristida,purpurea,native,graminoid,perennial,C4,G_C4,9.344502564,28.72716033,78.16731163,9.297941522,
1,1,2019,C,UG,asclepias_sp,asclepias,spp,native,forb,perennial,C3,F,22.54475793,33.00612915,78.83393342,22.4324243,
1,1,2019,C,UG,ch,chondrosum,hirsutum,native,graminoid,perennial,C4,G_C4,0.01,,,,Y
1,1,2019,C,UG,cow,NA,NA,NA,NA,NA,NA,NA_NA_NA,33.13538779,13.0702502,29.06357521,32.97024685,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,12.63957578,9.353796544,97.81637533,12.57660108,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,17.25339614,6.130818818,49.06148428,17.16741539,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,4.548313471,4.89893267,39.79038378,4.52564645,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,23.75577846,12.92988822,34.27958103,23.63738656,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.619056916,8.508047687,10.89305344,2.606002937,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,4.13235905,1.292852377,6.092908382,3.873338246,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,23.25590511,12.92162409,6.121407633,23.13999023,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.760800738,12.12241656,91.73771651,2.747045142,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,16.66351673,20.3986069,85.85618735,16.5804895,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,3.422078848,12.25695463,61.20151628,3.405026189,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,0.784039746,14.37381407,53.33387383,0.780132644,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.495774299,18.34416002,54.50942523,1.488320473,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,2.881833342,19.87238656,57.77483901,2.86747264,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,13.03855148,17.05890395,43.14733668,12.97357374,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,14.06807482,27.70336256,98.12820084,13.99798356,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,31.57473293,27.55381936,89.77973829,31.41741266,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,6.636987611,25.83156159,82.90730347,6.603917988,
1,1,2019,C,UG,cp,carex,pensylvanica,native,graminoid,perennial,C3,G_C3,1.898168397,24.39044272,69.51000649,1.888709984,
