year,block,plot,biomass_samping_date,exterior,rain_trt,graze_trt,sampling_notes,biomass_g,bare_visual_cov
2020,5,3,8/12/2020,N,D,GS,,2.23,32
2020,5,4,8/12/2020,N,W,GS,,6.28,8
2020,5,5,8/12/2020,N,C,GS,,2.75,9
2020,5,6,8/12/2020,N,C,GS,,5.57,10
2020,5,7,8/12/2020,N,D,GS,,2.25,13
2020,5,8,8/12/2020,N,W,GS,,3.55,9
2020,5,9,8/12/2020,N,D,GS,,4.48,34
2020,5,10,8/12/2020,N,C,GS,,3.84,7
2020,5,11,8/12/2020,N,D,GS,,4.65,22
2020,5,12,8/12/2020,N,W,GS,,5.11,11
2020,6,1,8/12/2020,N,D,C,,9.38,18
2020,6,2,8/12/2020,N,W,C,,15.72,6
2020,6,3,8/12/2020,N,D,C,,4.11,21
2020,6,4,8/12/2020,N,W,C,,10.43,3
2020,6,5,8/12/2020,N,C,C,,9.23,6
2020,6,6,8/12/2020,N,W,C,,10,8
2020,6,7,8/12/2020,N,D,C,,6.15,21
2020,6,8,8/12/2020,N,C,C,,10.66,24
2020,6,9,8/12/2020,N,C,C,,4.17,18
2020,6,10,8/12/2020,N,D,C,,4.96,28
2020,6,11,8/12/2020,N,W,C,,7.8,24
2020,6,12,8/12/2020,N,C,C,,5.66,16
